0	501.75
0.01	1339.875
0.02	1818.0
0.03	1893.3333333333333
0.04	1.90e+03
0.05	1.90e+03
0.06	1.90e+03
0.07	1.91e+03
0.08	1.91e+03
0.09	1.91e+03
0.1	1.91e+03
0.11	1913.3333333333333
0.12	1.92e+03
0.13	1.92e+03
0.14	1.92e+03
0.15	1.92e+03
0.16	1.925e+03
0.17	1.93e+03
0.18	1.93e+03
0.19	1.93e+03
0.2	1.93e+03
0.21	1.94e+03
0.22	1.94e+03
0.23	1.94e+03
0.24	1.94e+03
0.25	1946.6666666666666
0.26	1.95e+03
0.27	1.95e+03
0.28	1.95e+03
0.29	1.955e+03
0.3	1.96e+03
0.31	1.96e+03
0.32	1.96e+03
0.33	1.96e+03
0.34	1.965e+03
0.35	1.97e+03
0.36	1.97e+03
0.37	1.97e+03
0.38	1.97e+03
0.39	1.98e+03
0.4	1.98e+03
0.41	1.98e+03
0.42	1.98e+03
0.43	1.99e+03
0.44	1.99e+03
0.45	1.99e+03
0.46	1.99e+03
0.47	1.995e+03
0.48	2.00e+03
0.49	2.00e+03
0.5	2.00e+03
0.51	2.00e+03
0.52	2.01e+03
0.53	2.01e+03
0.54	2.01e+03
0.55	2.01e+03
0.56	2.015e+03
0.57	2.02e+03
0.58	2.02e+03
0.59	2.02e+03
0.6	2.025e+03
0.61	2.03e+03
0.62	2.03e+03
0.63	2.03e+03
0.64	2.03e+03
0.65	2.03e+03
0.66	2.03e+03
0.67	2.03e+03
0.68	2.03e+03
0.69	2.03e+03
0.7	2.03e+03
0.71	2.03e+03
0.72	2.03e+03
0.73	2.03e+03
0.74	2.03e+03
0.75	2.03e+03
0.76	2.03e+03
0.77	2.03e+03
0.78	2.03e+03
0.79	2.03e+03
0.8	2.03e+03
0.81	2.03e+03
0.82	2.03e+03
0.83	2.03e+03
0.84	2.03e+03
0.85	2.03e+03
0.86	2.03e+03
0.87	2.03e+03
0.88	2.03e+03
0.89	2.03e+03
0.9	2.03e+03
0.91	2.03e+03
0.92	2.03e+03
0.93	2.03e+03
0.94	2.03e+03
0.95	2.03e+03
0.96	2.03e+03
0.97	2.03e+03
0.98	2.03e+03
0.99	2.03e+03
1	2.03e+03
1.01	2.03e+03
1.02	2.03e+03
1.03	2.03e+03
1.04	2.03e+03
1.05	2.03e+03
1.06	2.03e+03
1.07	2.03e+03
1.08	2.03e+03
1.09	2.03e+03
1.1	2.03e+03
1.11	2.03e+03
1.12	2.03e+03
1.13	2.04e+03
1.14	2.04e+03
1.15	2.04e+03
1.16	2.04e+03
1.17	2.04e+03
1.18	2.04e+03
1.19	2.04e+03
1.2	2.04e+03
1.21	2.04e+03
1.22	2.04e+03
1.23	2.04e+03
1.24	2.04e+03
1.25	2.04e+03
1.26	2.04e+03
1.27	2.04e+03
1.28	2.04e+03
1.29	2.04e+03
1.3	2.04e+03
1.31	2.04e+03
1.32	2.04e+03
1.33	2.04e+03
1.34	2.04e+03
1.35	2.04e+03
1.36	2.04e+03
1.37	2.04e+03
1.38	2.04e+03
1.39	2.04e+03
1.4	2.04e+03
1.41	2.04e+03
1.42	2.04e+03
1.43	2.04e+03
1.44	2.04e+03
1.46	2.04e+03
1.47	2.04e+03
1.48	2.04e+03
1.49	2.04e+03
1.5	2.04e+03
1.51	2.04e+03
1.52	2.04e+03
1.53	2.04e+03
1.54	2.04e+03
1.56	2.04e+03
1.57	2.04e+03
1.58	2.04e+03
1.59	2.04e+03
1.6	2.04e+03
1.61	2.04e+03
1.63	2.04e+03
1.64	2.04e+03
1.65	2.04e+03
1.66	2.04e+03
1.67	2.04e+03
1.69	2.04e+03
1.7	2.04e+03
1.71	2.04e+03
1.72	2.04e+03
1.73	2.04e+03
1.75	2.04e+03
1.76	2.04e+03
1.77	2.04e+03
1.78	2.04e+03
1.8	2.04e+03
1.81	2.04e+03
1.82	2.04e+03
1.84	2.04e+03
1.85	2.04e+03
1.86	2.04e+03
1.87	2.04e+03
1.89	2.04e+03
1.9	2.04e+03
1.91	2.04e+03
1.93	2.04e+03
1.94	2.04e+03
1.95	2.04e+03
1.97	2.04e+03
1.98	2.04e+03
1.99	2.04e+03
2.01	2.04e+03
2.02	2.04e+03
2.04	2.04e+03
2.05	2.04e+03
2.06	2.04e+03
2.08	2.04e+03
2.09	2.04e+03
2.11	2.04e+03
2.12	2.04e+03
2.14	2.04e+03
2.15	2.04e+03
2.16	2.05e+03
2.18	2.05e+03
2.19	2.05e+03
2.21	2.05e+03
2.22	2.05e+03
2.24	2.05e+03
2.25	2.05e+03
2.27	2.05e+03
2.28	2.05e+03
2.3	2.05e+03
2.31	2.05e+03
2.33	2.05e+03
2.34	2.05e+03
2.36	2.05e+03
2.38	2.05e+03
2.39	2.05e+03
2.41	2.05e+03
2.42	2.05e+03
2.44	2.05e+03
2.45	2.05e+03
2.47	2.05e+03
2.49	2.05e+03
2.5	2.05e+03
2.52	2.05e+03
2.54	2.05e+03
2.55	2.05e+03
2.57	2.05e+03
2.59	2.05e+03
2.6	2.05e+03
2.62	2.05e+03
2.64	2.05e+03
2.65	2.05e+03
2.67	2.05e+03
2.69	2.05e+03
2.7	2.05e+03
2.72	2.05e+03
2.74	2.05e+03
2.76	2.05e+03
2.77	2.05e+03
2.79	2.05e+03
2.81	2.05e+03
2.83	2.05e+03
2.85	2.05e+03
2.86	2.05e+03
2.88	2.05e+03
2.9	2.05e+03
2.92	2.05e+03
2.94	2.05e+03
2.96	2.05e+03
2.97	2.05e+03
2.99	2.05e+03
3.01	2.05e+03
3.03	2.05e+03
3.05	2.05e+03
